group_name,group_value,condition,label,correct,total,accuracy,ci_low,ci_high,gain_vs_A,gain_ci_low,gain_ci_high
tier,1,A,A,40,40,1.0,0.912378,1.0,,,
tier,2,A,A,25,160,0.15625,0.108131,0.220488,,,
tier,3,A,A,30,380,0.078947,0.055858,0.110465,,,
tier,1,B,B wm2,40,40,1.0,0.912378,1.0,0.0,0.0,0.0
tier,2,B,B wm2,130,160,0.8125,0.74496,0.865386,0.65625,0.58125,0.725
tier,3,B,B wm2,291,380,0.765789,0.720679,0.80558,0.686842,0.634211,0.734211
tier,1,C,C ep3,40,40,1.0,0.912378,1.0,0.0,0.0,0.0
tier,2,C,C ep3,127,160,0.79375,0.724526,0.849199,0.6375,0.55625,0.7125
tier,3,C,C ep3,282,380,0.742105,0.69585,0.783514,0.663158,0.610526,0.713158
tier,1,D,D sem1,40,40,1.0,0.912378,1.0,0.0,0.0,0.0
tier,2,D,D sem1,119,160,0.74375,0.670944,0.805126,0.5875,0.5,0.675
tier,3,D,D sem1,288,380,0.757895,0.712383,0.798244,0.678947,0.631579,0.726316
